央视凤凰东南卫视,#genre#
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰中文,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd
凤凰资讯,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixinfo_hd
凤凰香港,https://smt.1678520.xyz/smt3.2.1.php?id=hkphoenix_twn

凤凰资讯,https://php.jdshipin.com:2096/smt.php?id=phoenixinfo_hd
凤凰香港,https://php.jdshipin.com:2096/smt.php?id=hkphoenix_twn

凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰香港,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt




凤凰资讯,http://222.212.84.190:54123/udp/239.93.1.4:2191
凤凰资讯,http://61.184.46.85:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,https://4k.11cn.dpdns.org/28.m3u8
凤凰资讯,http://j.s.bkpcp.top/js/fhzx
凤凰资讯,http://m.061899.xyz/mg/fhzx
凤凰资讯,http://139.196.228.200:5678/公众号搞机大师/fhx.php?id=info
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://218.104.239.114:9901/tsfile/live/1012_1.m3u8?key=txiptv$tsfil
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,https://stream1.freetv.fun/55317db1dd958d493bc8a11eed6f260f7c0903ab196dbbb4b5bf379800ba397f.m3u8
凤凰资讯,https://stream1.freetv.fun/320c213f4bb29b607f6c659b2a94918fc7f922c996ede3738fdff2ab9bd90217.ctv
凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd

凤凰中文,http://222.212.84.190:54123/udp/239.93.1.9:2192
凤凰中文,http://116.77.33.98:44330/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://171.213.202.212:19999/udp/239.93.0.162:2192
凤凰中文,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://j.s.bkpcp.top/js/fhzw
凤凰中文,http://m.061899.xyz/mg/fhzw
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd 
凤凰香港,https://4k.11cn.dpdns.org/29.m3u8
凤凰香港,http://stream-ali1.csslcloud.net/live/uEACKo2YT4ZTiHBMNM2g49d00j924NASwca4Glm436hsAvKE1L.flv
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
凤凰香港,http://cdn.jdshipin.com/jisu.php?id=fhxg
凤凰香港,https://cdn8.163189.xyz/live/fhhk/stream.m3u8
凤凰香港,http://139.196.228.200:5678/公众号搞机大师/fhx.php?id=hk
凤凰香港,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/fenghuangxiu22.php?id=hk
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null-7
凤凰香港,http://weixin.qq.home.kg/smtv.php?id=hkphoenix_twm
凤凰香港,https://live.sxrtv.com/iptv/fhhk.flv
凤凰香港,http://j.s.bkpcp.top/js/fhxg
凤凰香港,http://bx.757888.xyz/api.php?id=fhhk
凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
凤凰香港,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
凤凰香港,http://m.061899.xyz/mg/fhhk
凤凰香港,http://j.s.bkpcp.top/js/fhhk
凤凰香港,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20062
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20065
凤凰香港,https://migu.188766.xyz/?migutoken=cbf8f4f16f7ccdc07d7ccd8f9b012692&id=fhhk&pp=1
凤凰香港,http://m.061899.xyz/mg/fhhk
凤凰香港,https://cdn9.163189.xyz/smt3.1.1.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn


凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
凤凰资讯,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass

凤凰资讯,http://uo202.1985001.xyz:66/rtp/239.93.0.118:2191
凤凰中文,http://222.212.84.190:54123/udp/239.93.1.9:2192

凤凰中文,http://zqh2333.top:2222/rtp/239.93.24.9:2192
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://zqh2333.top:2222/rtp/239.93.24.4:2191


凤凰中文,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
凤凰资讯,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass

凤凰中文,http://vallest.uk/livehttpplay?channel_id=30014
凤凰资讯,http://vallest.uk/livehttpplay?channel_id=30015
凤凰香港,http://vallest.uk/livehttpplay?channel_id=30016


